category,url
The Eiffel Tower,https://storage.googleapis.com/quickdraw_dataset/full/raw/The Eiffel Tower.ndjson
The Great Wall of China,https://storage.googleapis.com/quickdraw_dataset/full/raw/The Great Wall of China.ndjson
The Mona Lisa,https://storage.googleapis.com/quickdraw_dataset/full/raw/The Mona Lisa.ndjson
aircraft carrier,https://storage.googleapis.com/quickdraw_dataset/full/raw/aircraft carrier.ndjson
airplane,https://storage.googleapis.com/quickdraw_dataset/full/raw/airplane.ndjson
alarm clock,https://storage.googleapis.com/quickdraw_dataset/full/raw/alarm clock.ndjson
ambulance,https://storage.googleapis.com/quickdraw_dataset/full/raw/ambulance.ndjson
angel,https://storage.googleapis.com/quickdraw_dataset/full/raw/angel.ndjson
animal migration,https://storage.googleapis.com/quickdraw_dataset/full/raw/animal migration.ndjson
ant,https://storage.googleapis.com/quickdraw_dataset/full/raw/ant.ndjson
anvil,https://storage.googleapis.com/quickdraw_dataset/full/raw/anvil.ndjson
apple,https://storage.googleapis.com/quickdraw_dataset/full/raw/apple.ndjson
arm,https://storage.googleapis.com/quickdraw_dataset/full/raw/arm.ndjson
asparagus,https://storage.googleapis.com/quickdraw_dataset/full/raw/asparagus.ndjson
axe,https://storage.googleapis.com/quickdraw_dataset/full/raw/axe.ndjson
backpack,https://storage.googleapis.com/quickdraw_dataset/full/raw/backpack.ndjson
banana,https://storage.googleapis.com/quickdraw_dataset/full/raw/banana.ndjson
bandage,https://storage.googleapis.com/quickdraw_dataset/full/raw/bandage.ndjson
barn,https://storage.googleapis.com/quickdraw_dataset/full/raw/barn.ndjson
baseball bat,https://storage.googleapis.com/quickdraw_dataset/full/raw/baseball bat.ndjson
baseball,https://storage.googleapis.com/quickdraw_dataset/full/raw/baseball.ndjson
basket,https://storage.googleapis.com/quickdraw_dataset/full/raw/basket.ndjson
basketball,https://storage.googleapis.com/quickdraw_dataset/full/raw/basketball.ndjson
bat,https://storage.googleapis.com/quickdraw_dataset/full/raw/bat.ndjson
bathtub,https://storage.googleapis.com/quickdraw_dataset/full/raw/bathtub.ndjson
beach,https://storage.googleapis.com/quickdraw_dataset/full/raw/beach.ndjson
bear,https://storage.googleapis.com/quickdraw_dataset/full/raw/bear.ndjson
beard,https://storage.googleapis.com/quickdraw_dataset/full/raw/beard.ndjson
bed,https://storage.googleapis.com/quickdraw_dataset/full/raw/bed.ndjson
bee,https://storage.googleapis.com/quickdraw_dataset/full/raw/bee.ndjson
belt,https://storage.googleapis.com/quickdraw_dataset/full/raw/belt.ndjson
bench,https://storage.googleapis.com/quickdraw_dataset/full/raw/bench.ndjson
bicycle,https://storage.googleapis.com/quickdraw_dataset/full/raw/bicycle.ndjson
binoculars,https://storage.googleapis.com/quickdraw_dataset/full/raw/binoculars.ndjson
bird,https://storage.googleapis.com/quickdraw_dataset/full/raw/bird.ndjson
birthday cake,https://storage.googleapis.com/quickdraw_dataset/full/raw/birthday cake.ndjson
blackberry,https://storage.googleapis.com/quickdraw_dataset/full/raw/blackberry.ndjson
blueberry,https://storage.googleapis.com/quickdraw_dataset/full/raw/blueberry.ndjson
book,https://storage.googleapis.com/quickdraw_dataset/full/raw/book.ndjson
boomerang,https://storage.googleapis.com/quickdraw_dataset/full/raw/boomerang.ndjson
bottlecap,https://storage.googleapis.com/quickdraw_dataset/full/raw/bottlecap.ndjson
bowtie,https://storage.googleapis.com/quickdraw_dataset/full/raw/bowtie.ndjson
bracelet,https://storage.googleapis.com/quickdraw_dataset/full/raw/bracelet.ndjson
brain,https://storage.googleapis.com/quickdraw_dataset/full/raw/brain.ndjson
bread,https://storage.googleapis.com/quickdraw_dataset/full/raw/bread.ndjson
bridge,https://storage.googleapis.com/quickdraw_dataset/full/raw/bridge.ndjson
broccoli,https://storage.googleapis.com/quickdraw_dataset/full/raw/broccoli.ndjson
broom,https://storage.googleapis.com/quickdraw_dataset/full/raw/broom.ndjson
bucket,https://storage.googleapis.com/quickdraw_dataset/full/raw/bucket.ndjson
bulldozer,https://storage.googleapis.com/quickdraw_dataset/full/raw/bulldozer.ndjson
bus,https://storage.googleapis.com/quickdraw_dataset/full/raw/bus.ndjson
bush,https://storage.googleapis.com/quickdraw_dataset/full/raw/bush.ndjson
butterfly,https://storage.googleapis.com/quickdraw_dataset/full/raw/butterfly.ndjson
cactus,https://storage.googleapis.com/quickdraw_dataset/full/raw/cactus.ndjson
cake,https://storage.googleapis.com/quickdraw_dataset/full/raw/cake.ndjson
calculator,https://storage.googleapis.com/quickdraw_dataset/full/raw/calculator.ndjson
calendar,https://storage.googleapis.com/quickdraw_dataset/full/raw/calendar.ndjson
camel,https://storage.googleapis.com/quickdraw_dataset/full/raw/camel.ndjson
camera,https://storage.googleapis.com/quickdraw_dataset/full/raw/camera.ndjson
camouflage,https://storage.googleapis.com/quickdraw_dataset/full/raw/camouflage.ndjson
campfire,https://storage.googleapis.com/quickdraw_dataset/full/raw/campfire.ndjson
candle,https://storage.googleapis.com/quickdraw_dataset/full/raw/candle.ndjson
cannon,https://storage.googleapis.com/quickdraw_dataset/full/raw/cannon.ndjson
canoe,https://storage.googleapis.com/quickdraw_dataset/full/raw/canoe.ndjson
car,https://storage.googleapis.com/quickdraw_dataset/full/raw/car.ndjson
carrot,https://storage.googleapis.com/quickdraw_dataset/full/raw/carrot.ndjson
castle,https://storage.googleapis.com/quickdraw_dataset/full/raw/castle.ndjson
cat,https://storage.googleapis.com/quickdraw_dataset/full/raw/cat.ndjson
ceiling fan,https://storage.googleapis.com/quickdraw_dataset/full/raw/ceiling fan.ndjson
cell phone,https://storage.googleapis.com/quickdraw_dataset/full/raw/cell phone.ndjson
cello,https://storage.googleapis.com/quickdraw_dataset/full/raw/cello.ndjson
chair,https://storage.googleapis.com/quickdraw_dataset/full/raw/chair.ndjson
chandelier,https://storage.googleapis.com/quickdraw_dataset/full/raw/chandelier.ndjson
church,https://storage.googleapis.com/quickdraw_dataset/full/raw/church.ndjson
circle,https://storage.googleapis.com/quickdraw_dataset/full/raw/circle.ndjson
clarinet,https://storage.googleapis.com/quickdraw_dataset/full/raw/clarinet.ndjson
clock,https://storage.googleapis.com/quickdraw_dataset/full/raw/clock.ndjson
cloud,https://storage.googleapis.com/quickdraw_dataset/full/raw/cloud.ndjson
coffee cup,https://storage.googleapis.com/quickdraw_dataset/full/raw/coffee cup.ndjson
compass,https://storage.googleapis.com/quickdraw_dataset/full/raw/compass.ndjson
computer,https://storage.googleapis.com/quickdraw_dataset/full/raw/computer.ndjson
cookie,https://storage.googleapis.com/quickdraw_dataset/full/raw/cookie.ndjson
cooler,https://storage.googleapis.com/quickdraw_dataset/full/raw/cooler.ndjson
couch,https://storage.googleapis.com/quickdraw_dataset/full/raw/couch.ndjson
cow,https://storage.googleapis.com/quickdraw_dataset/full/raw/cow.ndjson
crab,https://storage.googleapis.com/quickdraw_dataset/full/raw/crab.ndjson
crayon,https://storage.googleapis.com/quickdraw_dataset/full/raw/crayon.ndjson
crocodile,https://storage.googleapis.com/quickdraw_dataset/full/raw/crocodile.ndjson
crown,https://storage.googleapis.com/quickdraw_dataset/full/raw/crown.ndjson
cruise ship,https://storage.googleapis.com/quickdraw_dataset/full/raw/cruise ship.ndjson
cup,https://storage.googleapis.com/quickdraw_dataset/full/raw/cup.ndjson
diamond,https://storage.googleapis.com/quickdraw_dataset/full/raw/diamond.ndjson
dishwasher,https://storage.googleapis.com/quickdraw_dataset/full/raw/dishwasher.ndjson
diving board,https://storage.googleapis.com/quickdraw_dataset/full/raw/diving board.ndjson
dog,https://storage.googleapis.com/quickdraw_dataset/full/raw/dog.ndjson
dolphin,https://storage.googleapis.com/quickdraw_dataset/full/raw/dolphin.ndjson
donut,https://storage.googleapis.com/quickdraw_dataset/full/raw/donut.ndjson
door,https://storage.googleapis.com/quickdraw_dataset/full/raw/door.ndjson
dragon,https://storage.googleapis.com/quickdraw_dataset/full/raw/dragon.ndjson
dresser,https://storage.googleapis.com/quickdraw_dataset/full/raw/dresser.ndjson
drill,https://storage.googleapis.com/quickdraw_dataset/full/raw/drill.ndjson
drums,https://storage.googleapis.com/quickdraw_dataset/full/raw/drums.ndjson
duck,https://storage.googleapis.com/quickdraw_dataset/full/raw/duck.ndjson
dumbbell,https://storage.googleapis.com/quickdraw_dataset/full/raw/dumbbell.ndjson
ear,https://storage.googleapis.com/quickdraw_dataset/full/raw/ear.ndjson
elbow,https://storage.googleapis.com/quickdraw_dataset/full/raw/elbow.ndjson
elephant,https://storage.googleapis.com/quickdraw_dataset/full/raw/elephant.ndjson
envelope,https://storage.googleapis.com/quickdraw_dataset/full/raw/envelope.ndjson
eraser,https://storage.googleapis.com/quickdraw_dataset/full/raw/eraser.ndjson
eye,https://storage.googleapis.com/quickdraw_dataset/full/raw/eye.ndjson
eyeglasses,https://storage.googleapis.com/quickdraw_dataset/full/raw/eyeglasses.ndjson
face,https://storage.googleapis.com/quickdraw_dataset/full/raw/face.ndjson
fan,https://storage.googleapis.com/quickdraw_dataset/full/raw/fan.ndjson
feather,https://storage.googleapis.com/quickdraw_dataset/full/raw/feather.ndjson
fence,https://storage.googleapis.com/quickdraw_dataset/full/raw/fence.ndjson
finger,https://storage.googleapis.com/quickdraw_dataset/full/raw/finger.ndjson
fire hydrant,https://storage.googleapis.com/quickdraw_dataset/full/raw/fire hydrant.ndjson
fireplace,https://storage.googleapis.com/quickdraw_dataset/full/raw/fireplace.ndjson
firetruck,https://storage.googleapis.com/quickdraw_dataset/full/raw/firetruck.ndjson
fish,https://storage.googleapis.com/quickdraw_dataset/full/raw/fish.ndjson
flamingo,https://storage.googleapis.com/quickdraw_dataset/full/raw/flamingo.ndjson
flashlight,https://storage.googleapis.com/quickdraw_dataset/full/raw/flashlight.ndjson
flip flops,https://storage.googleapis.com/quickdraw_dataset/full/raw/flip flops.ndjson
floor lamp,https://storage.googleapis.com/quickdraw_dataset/full/raw/floor lamp.ndjson
